mouse,order,E1,E2,E3,E4
FEDXC01,2,54.74492977773343,67.03779743539263,52.01651317878692,67.9357305279992
FEDXC02,2,85.95040229761595,94.26864218625052,79.46483514302162,99.08339339184391
FEDXC03,2,91.3213654605209,89.76116861585339,86.90248565965582,97.37710821679372
FEDXC04,2,111.32582319486721,90.42617920160842,94.67433648856985,94.44649649100039
FEDXC05,2,87.36890978878512,110.13493431611488,84.76325172805322,92.49228283473047
FEDXC06,2,67.07389032651514,76.92444920167694,68.36327444637969,77.67085797464611
FEDXC07,1,88.36349083746569,99.98507863559044,90.41860465116278,69.29502441386546
FEDXC08,1,100.47521079757996,88.59410873186177,82.78326249864845,70.0631258938311
FEDXC09,1,86.50884748079409,92.22407247052554,92.9200337715595,89.11765589481169
FEDXC10,1,60.59235187499074,69.90730782340503,62.088524967362105,64.11820013431834
FEDXC11,1,89.57729234070705,89.8445158997165,84.74467323336192,52.56862423904068
FEDXC12,1,97.71800184200126,81.3422260100885,73.71301168762352,66.48883821914478
