,mouse,diet,order,epoch,n_pellets,n_meals,session_time,short_ipis,meal_freq,meal_size
0,FEDXC01,NR,2,E1,1108,381,10021.75,0,54.74492977773343,2.9081364829396326
1,FEDXC01,PR,2,E2,1083,469,10074.316666666668,0,67.03779743539263,2.3091684434968016
2,FEDXC01,NR,2,E3,1279,364,10076.8,0,52.01651317878692,3.5137362637362637
3,FEDXC01,PR,2,E4,1051,472,10004.75,0,67.93573053,2.2266949152542375
4,FEDXC02,NR,2,E1,1303,602,10085.816666666668,0,85.95040229761595,2.164451827242525
5,FEDXC02,PR,2,E2,1227,659,10066.55,0,94.26864218625052,1.8619119878603945
6,FEDXC02,NR,2,E3,1333,556,10075.4,0,79.46483514302162,2.397482014388489
7,FEDXC02,PR,2,E4,1261,689,10013.383333333333,0,99.08339339184391,1.830188679245283
8,FEDXC03,NR,2,E1,1172,640,10091.833333333334,0,91.32136546,1.83125
9,FEDXC03,PR,2,E2,1233,626,10042.65,0,89.76116861585339,1.9696485623003195
10,FEDXC03,NR,2,E3,1401,606,10041.6,0,86.90248565965582,2.3118811881188117
11,FEDXC03,PR,2,E4,1206,676,9996.6,0,97.37710821679372,1.7840236686390532
12,FEDXC04,NR,2,E1,1446,778,10063.433333333332,0,111.32582319486721,1.858611825192802
13,FEDXC04,PR,2,E2,1342,633,10080.266666666666,0,90.42617920160842,2.1200631911532386
14,FEDXC04,NR,2,E3,1508,661,10053.833333333334,0,94.67433648856985,2.281391830559758
15,FEDXC04,PR,2,E4,1390,657,10017.1,0,94.44649649100039,2.1156773211567734
16,FEDXC05,NR,2,E1,1252,612,10086.883333333333,0,87.36890978878512,2.045751633986928
17,FEDXC05,PR,2,E2,1772,772,10093.8,0,110.13493431611488,2.295336787564767
18,FEDXC05,NR,2,E3,1598,591,10040.2,0,84.76325172805322,2.703891708967851
19,FEDXC05,PR,2,E4,1761,644,10026.35,0,92.49228283473047,2.734472049689441
20,FEDXC06,NR,2,E1,1198,471,10111.833333333334,0,67.07389032651514,2.543524416135881
21,FEDXC06,PR,2,E2,1148,539,10089.9,0,76.92444920167694,2.1298701298701297
22,FEDXC06,NR,2,E3,1289,477,10047.5,0,68.36327444637969,2.70230608
23,FEDXC06,PR,2,E4,1210,541,10030.016666666666,0,77.67085797464611,2.2365988909426986
24,FEDXC07,NR,1,E1,1266,621,10120.016666666666,0,88.36349083746569,2.0386473429951693
25,FEDXC07,NR,1,E2,1280,698,10052.7,0,99.98507863559044,1.833810888252149
26,FEDXC07,NR,1,E3,1201,630,10033.333333333334,0,90.41860465116278,1.9063492063492065
27,FEDXC07,NR,1,E4,1213,477,9912.4,0,69.29502441386546,2.542976939203354
28,FEDXC08,NR,1,E1,1296,706,10118.316666666668,0,100.47521079757996,1.8356940509915014
29,FEDXC08,NR,1,E2,1243,615,9996.15,0,88.59410873186177,2.0211382113821137
30,FEDXC08,NR,1,E3,1274,576,10019.416666666666,0,82.78326249864845,2.2118055555555554
31,FEDXC08,NR,1,E4,1376,478,9824.283333333333,0,70.06312589,2.8786610878661087
32,FEDXC09,NR,1,E1,1260,608,10120.583333333334,0,86.50884748079409,2.0723684210526314
33,FEDXC09,NR,1,E2,1307,641,10008.666666666666,0,92.22407247052554,2.0390015600624025
34,FEDXC09,NR,1,E3,1312,642,9949.2,0,92.92003377,2.043613707165109
35,FEDXC09,NR,1,E4,1406,618,9985.9,0,89.11765589481169,2.2750809061488675
36,FEDXC10,NR,1,E1,1347,426,10124.05,0,60.59235187499074,3.1619718309859155
37,FEDXC10,NR,1,E2,1443,489,10072.766666666666,0,69.90730782340503,2.950920245398773
38,FEDXC10,NR,1,E3,1263,431,9996.05,0,62.088524967362105,2.9303944315545243
39,FEDXC10,NR,1,E4,1361,442,9926.666666666666,0,64.11820013431834,3.079185520361991
40,FEDXC11,NR,1,E1,1307,630,10127.566666666668,0,89.57729234070705,2.074603174603175
41,FEDXC11,NR,1,E2,1302,629,10081.416666666666,0,89.8445159,2.069952305246423
42,FEDXC11,NR,1,E3,1316,589,10008.416666666666,0,84.74467323336192,2.234295415959253
43,FEDXC11,NR,1,E4,1144,364,9970.966666666667,0,52.56862423904068,3.142857142857143
44,FEDXC12,NR,1,E1,1392,684,10079.616666666667,0,97.71800184200126,2.0350877192982457
45,FEDXC12,NR,1,E2,1380,570,10090.7,0,81.34222601,2.4210526315789473
46,FEDXC12,NR,1,E3,1444,512,10002.033333333333,0,73.71301168762352,2.8203125
47,FEDXC12,NR,1,E4,1611,459,9940.916666666666,0,66.48883821914478,3.5098039215686274
